0	 0	 0	 0	 0	 
8	 3	 15	 3	 2	 
0	 0	 0	 0	 2	 
0	 0	 0	 0	 2252	 
18	 4	 9	 2	 1	 
2	 0	 0	 0	 0	 
14881	 0	 0	 0	 0	 
8	 2	 8	 3	 2	 
2	 0	 2	 0	 2	 
3781	 0	 8	 0	 601	 
21	 2	 3	 2	 2	 
7	 0	 0	 0	 2	 
447	 0	 0	 0	 6	 
13	 3	 3	 1	 1	 
10	 0	 0	 0	 0	 
7658	 0	 0	 0	 0	 
34	 17	 26	 2	 3	 
3	 0	 2	 0	 2	 
6584	 0	 296	 0	 5626	 
6	 5	 7	 2	 3	 
4	 0	 0	 0	 3	 
64229	 0	 0	 0	 1928	 
30	 5	 11	 2	 2	 
15	 0	 3	 0	 2	 
30226	 0	 89	 0	 742	 
15	 2	 4	 1	 1	 
6	 0	 2	 0	 1	 
64405	 0	 646	 0	 986	 
71	 19	 37	 3	 3	 
0	 0	 0	 2	 3	 
0	 0	 0	 1135	 3908	 
28	 9	 14	 2	 2	 
0	 0	 2	 0	 2	 
0	 0	 732	 0	 2095	 
34	 17	 26	 2	 3	 
3	 0	 2	 0	 2	 
8452	 0	 163	 0	 4902	 
14	 9	 15	 3	 2	 
4	 0	 0	 2	 2	 
90	 0	 0	 3	 6	 
17	 9	 22	 1	 1	 
3	 0	 3	 0	 0	 
3148	 0	 8	 0	 0	 
15	 4	 6	 1	 1	 
12	 0	 3	 0	 0	 
4165	 0	 109	 0	 0	 
5	 2	 3	 2	 1	 
2	 0	 0	 0	 0	 
8454	 0	 0	 0	 0	 
16	 3	 18	 1	 2	 
4	 0	 2	 0	 2	 
12200	 0	 255	 0	 1857	 
25	 13	 28	 3	 2	 
5	 0	 3	 2	 2	 
19637	 0	 3128	 1146	 4506	 
23	 5	 7	 3	 2	 
0	 0	 0	 0	 2	 
0	 0	 0	 0	 5751	 
31	 15	 53	 7	 2	 
11	 0	 12	 6	 2	 
61120	 0	 9302	 10319	 2434	 
13	 14	 17	 2	 1	 
2	 0	 0	 0	 0	 
10	 0	 0	 0	 0	 
11	 0	 2	 1	 1	 
2	 0	 2	 0	 0	 
57	 0	 7	 0	 0	 
4	 0	 3	 1	 1	 
3	 0	 3	 0	 0	 
14223	 0	 191	 0	 0	 
8	 15	 11	 4	 1	 
3	 0	 3	 3	 0	 
2789	 0	 709	 360	 0	 
19	 14	 23	 2	 1	 
5	 0	 0	 0	 0	 
1038	 0	 0	 0	 0	 
78	 16	 54	 4	 7	 
0	 0	 0	 0	 0	 
0	 0	 0	 0	 0	 
16	 3	 18	 1	 2	 
2	 0	 0	 0	 2	 
5717	 0	 0	 0	 7	 
14	 0	 3	 1	 1	 
4	 0	 2	 0	 0	 
83199	 0	 1982	 0	 0	 
14	 11	 17	 4	 2	 
9	 2	 2	 3	 2	 
442	 6	 12	 16	 19	 
21	 7	 19	 2	 1	 
3	 0	 3	 0	 0	 
2164	 0	 117	 0	 0	 
25	 5	 10	 2	 2	 
0	 0	 0	 0	 0	 
0	 0	 0	 0	 0	 
7	 0	 2	 1	 1	 
7	 0	 2	 0	 0	 
2978	 0	 4	 0	 0	 
11	 26	 25	 5	 2	 
0	 1	 3	 4	 2	 
0	 65	 366	 2453	 1621	 
12	 10	 23	 1	 2	 
0	 0	 0	 0	 2	 
0	 0	 0	 0	 3443	 
25	 15	 28	 4	 1	 
7	 0	 0	 2	 0	 
98	 0	 0	 6	 0	 
90	 7	 20	 2	 2	 
21	 0	 8	 0	 2	 
27799	 0	 48	 0	 6	 
4	 0	 4	 1	 1	 
3	 0	 4	 0	 0	 
7504	 0	 293	 0	 0	 
9	 2	 4	 2	 1	 
7	 0	 2	 0	 0	 
9418	 0	 7	 0	 0	 
23	 4	 14	 1	 3	 
0	 0	 0	 0	 0	 
0	 0	 0	 0	 0	 
10	 0	 3	 1	 1	 
2	 0	 2	 0	 1	 
2462	 0	 1467	 0	 474	 
11	 6	 17	 2	 1	 
7	 0	 2	 0	 0	 
6284	 0	 305	 0	 0	 
26	 15	 15	 2	 2	 
2	 0	 2	 0	 2	 
5326	 0	 298	 0	 4245	 
24	 9	 13	 4	 2	 
5	 0	 0	 2	 2	 
27045	 0	 0	 1793	 2978	 
9	 9	 14	 1	 2	 
5	 0	 2	 0	 2	 
4082	 0	 8	 0	 8	 
29	 6	 18	 2	 3	 
11	 5	 6	 0	 3	 
35794	 588	 220	 0	 134	 
25	 12	 12	 1	 2	 
4	 0	 0	 0	 2	 
137	 0	 0	 0	 20	 
14	 11	 21	 1	 2	 
4	 0	 3	 0	 2	 
6534	 0	 29	 0	 188	 
50	 16	 28	 3	 4	 
0	 0	 2	 2	 3	 
0	 0	 12	 2082	 4169	 
19	 8	 22	 1	 2	 
7	 0	 2	 0	 2	 
24989	 0	 112	 0	 908	 
32	 12	 24	 3	 2	 
3	 0	 2	 0	 2	 
42	 0	 8	 0	 6	 
12	 10	 25	 1	 2	 
0	 0	 0	 0	 2	 
0	 0	 0	 0	 3329	 
17	 9	 10	 2	 1	 
3	 0	 0	 0	 0	 
17259	 0	 0	 0	 0	 
8	 0	 6	 1	 2	 
6	 0	 0	 0	 2	 
83	 0	 0	 0	 6	 
19	 9	 9	 2	 2	 
5	 0	 0	 0	 2	 
28160	 0	 0	 0	 1036	 
16	 3	 18	 1	 2	 
2	 0	 0	 0	 2	 
215701	 0	 0	 0	 7	 
3	 0	 3	 2	 1	 
2	 0	 0	 0	 0	 
2475	 0	 0	 0	 0	 
5	 5	 7	 1	 2	 
2	 0	 2	 0	 2	 
1722	 0	 158	 0	 6	 
13	 11	 32	 3	 2	 
0	 1	 3	 2	 2	 
0	 43	 321	 2256	 1496	 
19	 8	 22	 1	 2	 
7	 0	 2	 0	 2	 
58133	 0	 202	 0	 2166	 
34	 17	 26	 2	 3	 
3	 0	 2	 0	 2	 
6231	 0	 108	 0	 3586	 
54	 12	 15	 2	 3	 
0	 0	 0	 0	 3	 
0	 0	 0	 0	 7223	 
10	 10	 14	 2	 2	 
2	 0	 2	 0	 2	 
194	 0	 17	 0	 209	 
9	 3	 4	 1	 2	 
8	 0	 2	 0	 2	 
16141	 0	 23	 0	 251	 
34	 17	 26	 2	 3	 
3	 0	 2	 0	 2	 
5340	 0	 103	 0	 3041	 
9	 2	 3	 2	 1	 
6	 0	 0	 0	 0	 
220	 0	 0	 0	 0	 
34	 17	 26	 2	 3	 
3	 0	 2	 0	 2	 
3278	 0	 54	 0	 1856	 
19	 3	 7	 1	 2	 
5	 0	 2	 0	 2	 
9218	 0	 361	 0	 2054	 
33	 17	 23	 2	 3	 
4	 0	 2	 0	 2	 
8497	 0	 86	 0	 3062	 
3	 0	 4	 1	 1	 
3	 0	 4	 0	 0	 
3159	 0	 28	 0	 0	 
34	 17	 26	 2	 3	 
3	 0	 2	 0	 2	 
7986	 0	 90	 0	 4463	 
2	 0	 1	 1	 1	 
2	 0	 0	 0	 0	 
493	 0	 0	 0	 0	 
34	 17	 26	 2	 3	 
3	 0	 2	 0	 2	 
67	 0	 6	 0	 46	 
15	 2	 3	 2	 2	 
0	 0	 0	 0	 2	 
0	 0	 0	 0	 3177	 
34	 17	 26	 2	 3	 
3	 0	 2	 0	 2	 
2125	 0	 44	 0	 1163	 
5	 6	 12	 2	 2	 
2	 0	 2	 0	 2	 
314	 0	 9	 0	 50	 
65	 18	 31	 4	 5	 
0	 0	 0	 0	 0	 
0	 0	 0	 0	 0	 
98	 47	 21	 4	 3	 
1	 0	 2	 3	 3	 
1	 0	 4	 56	 12	 
37	 5	 10	 2	 2	 
3	 0	 0	 0	 2	 
2240	 0	 0	 0	 2025	 
10	 8	 10	 2	 2	 
0	 1	 3	 2	 2	 
0	 64	 663	 1910	 1433	 
7	 0	 3	 2	 1	 
2	 0	 0	 0	 0	 
2398	 0	 0	 0	 0	 
